times_s,voltage_V_Am2
0.0001,2.518111714459364e-05
0.00012589254117941674,1.667116478465547e-05
0.00015848931924611142,1.0921347653425524e-05
0.00019952623149688788,7.325720809592902e-06
0.00025118864315095795,4.706410200118665e-06
0.00031622776601683794,3.0187418573422586e-06
0.00039810717055349735,1.998267646764949e-06
0.0005011872336272725,1.2530266004988897e-06
0.000630957344480193,7.620496884503641e-07
0.0007943282347242813,4.733646169422783e-07
0.001,2.7390195509466497e-07
0.0012589254117941675,1.503253932666875e-07
0.001584893192461114,8.514921718185984e-08
0.001995262314968879,4.5346007461537374e-08
0.002511886431509582,2.32756839807548e-08
0.0031622776601683794,1.2795752123824916e-08
0.003981071705534973,6.827101581046154e-09
0.005011872336272725,3.575048143931247e-09
0.00630957344480193,2.0133266665485326e-09
0.00794328234724282,1.1141912936815683e-09
0.01,6.05979383198176e-10
